German,Portuguese
Ich,eu
ist,é
ich,eu
nicht,Não
Sie,vocês
du,vocês
das,a
die,a
es,isto
und,e
der,a
zu,para
sie,vocês
Das,O
ein,uma
in,dentro
wir,nós
Du,Vocês
mir,Eu
mit,Com
Was,o que
den,a
mich,Eu
was,o que
auf,sobre
dass,naquela
er,ele
eine,uma
Es,Isto
hat,Tem
Wir,Nós
Und,E
so,tão
sind,estão
von,de
dich,vocês
war,estava
haben,Ter
für,Para
Ja,sim
hier,aqui
an,no
habe,ter
Er,Ele
bin,sou
wie,Como as
noch,ainda
dir,para você
uns,nós
sich,você mesmo
Die,O
nur,somente
einen,1
Nein,Não
dem,a
ihn,ele
auch,tb
hast,tem
sein,ser
ihr,vocês
da,lá
aus,Fora
kann,posso
aber,mas
Aber,Mas
schon,bela
wenn,E se
wird,torna-se
um,em volta
Wie,Como
als,como
bist,estão
im,no
mal,vezes
doch,mas
gut,Nós vamos
meine,minha
jetzt,agora
weiß,Branco
Wenn,Se
werden,vir a ser
Der,O
nach,para
ja,sim
Oh,Oh
oder,ou
dann,então
will,quer
mein,minha
mehr,mais
keine,não
etwas,alguma coisa
alles,tudo
muss,ter que
immer,sempre
nichts,Nada
man,vocês
wieder,novamente
bei,no
hab,hab
machen,Faz
vor,em frente
Mann,homem
ihm,ele
einem,1
tun,pendência
zum,para o
können,posso
sagen,dizer
werde,vontade
denn,Porque
Ist,é
Ein,UMA
Warum,Por que
einer,1
gehen,caminhar
sehen,Vejo
sehr,muito
geht,indo
alle,tudo
über,acima de
müssen,tem que
diese,esses
einfach,fácil
euch,para você
des,de
nie,Nunca
Also,Então
Wo,Onde
los,Vamos
Zeit,Tempo
Ihnen,eles
gibt,dá
wirklich,realmente
Hey,Ei
Danke,obrigado
deine,Sua
würde,seria
soll,deve
Da,Lá
hatte,teria
Hier,Aqui
wissen,conhecimento
bitte,De nada
viel,Muito de
Dann,Então
So,Então
gesagt,contado
Ihr,sua
am,no
kein,não
Komm,venha aqui
Wer,quem
zurück,voltar
wurde,tem sido
In,Dentro
wollte,desejado
Frau,Sra
Leben,Vida
wäre,seria
wo,Onde
damit,a fim de
Nicht,Não
Gott,Deus
Leute,Pessoas
kannst,posso
heute,hoje
meinen,mau
dieser,esta
dein,sua
kommt,chegando
kommen,venha
willst,quer
Na,N / D
wollen,quer
sicher,claro que sim
ganz,tudo
Jetzt,Agora
Mein,Minhas
Mr,Sr
also,tão
zur,para
Hast,Tem
Gut,Nós vamos
hätte,teria
weil,Porque
tut,faz
Hallo,Olá
Okay,OK
macht,faz
waren,nós estamos
bis,para
Vielleicht,Pode ser
könnte,poderia
Eine,UMA
Bitte,De nada
weg,caminho
seine,seu
lassen,deixar
Vater,pai
gesehen,visto
Nun,Agora
gerade,somente
Alles,Tudo
glaube,fé
Tag,Dia
ab,a partir de
Geld,dinheiro
gemacht,feito
nein,Não
Sir,senhor
sollte,deve
sagte,disse
keinen,não
durch,de
zwei,dois
diesen,esta
passiert,acontece
wohl,Nós vamos
vielleicht,pode ser
ihre,sua
Mutter,mãe
reden,conversa
anderen,outro
dachte,pensei
daß,naquela
möchte,gostaria de
wirst,vontade
gehört,pertence
weißt,conhecer
Keine,Não
raus,Fora
Meine,Minhas
paar,par
besser,melhorar
ob,E se
her,aqui
musst,devo
Ordnung,pedido
meiner,minha
klar,Claro
ihnen,eles
Los,Vamos
diesem,esta
meinem,minha
lange,Longo
Lass,deixar
dieses,esta
helfen,ajuda
unsere,nosso
Weg,caminho
selbst,auto
Nur,Somente
finden,Achar
Mal,vezes
jemand,alguém
denke,pensar
Ach,Oh
Nacht,noite
genau,exatamente
gar,em absoluto
sagt,diz
Welt,mundo
Auf,Sobre
Mädchen,menina
ins,no
hin,baixa
vom,a partir de
schön,bela
warum,Por que
weiter,avançar
Leid,Sofrimento
gleich,igual
wer,quem
Man,vocês
ohne,sem
Menschen,Pessoas
deinen,sua
leid,Sofrimento
Wieso,Como assim
dort,Lá
Als,Como
Hause,casa
sollten,deve
davon,a partir desse
zusammen,juntos
geben,dar
Ok,OK
Hör,Ouço
machst,fazendo
Freund,amigo
richtig,correto
Angst,ansiedade
Bist,estão
Tut,faz
Mit,Com
viele,grande quantidade
sieht,parece
Haus,lar
tot,morto
sollen,deve
ganze,inteira
andere,outro
getan,feito
okay,OK
rein,puramente
Diese,Esses
Moment,momento
bleiben,fique
brauchen,necessidade
Weil,Porque
Kinder,crianças
unter,sob
Arbeit,trabalho
Für,Para
Problem,problema
dafür,por esta
Herr,Sr
Haben,Ter
wegen,por causa de
geht's,Está
liebe,amor
genug,suficiente
dabei,lá
bringen,trazer
Ihre,Sua
ne,ne
gegen,contra
Weißt,conhecer
Sag,dizer
schnell,Rápido
nun,agora
eines,1
brauche,necessidade
Abend,véspera
hatten,teve
Jahre,anos
Mach,Mach
Bruder,irmãos
Sache,Coisa
hören,Ouço
komm,venha aqui
Sohn,filho
seit,Desde a
Morgen,amanhã
drei,três
steht,fica
Scheiße,porcaria
mag,Como
sei,ser
unser,nosso
konnte,poderia
habt,ter
Oder,Ou
einmal,uma vez
heißt,chamado
OK,OK
Willst,Quer
Kopf,cabeça
Hilfe,Ajuda
Familie,família
Geh,vai
Baby,infantil
Dich,Vocês
Sind,estão
erst,primeiro
fertig,finalizado
gefunden,encontrado
seid,estão
kam,veio
nehmen,pegar
morgen,amanhã
sprechen,falar
Mir,Eu
sofort,agora mesmo
Kann,posso
Hat,Tem
Jahren,anos
Kind,filho
seinen,seu
Genau,Exatamente
daran,isto
Junge,Garoto
Minuten,minutos
bevor,antes
Stadt,cidade
beim,no
sterben,morrer
warst,nós estamos
Recht,Lei
glauben,acreditam
Warte,Esperar
darüber,sobre isso
deiner,Sua
deinem,sua
Ende,fim
He,Ele
Dinge,coisas
Namen,nomes
wahr,verdadeiro
Alle,Tudo
allein,sozinho
Natürlich,Naturalmente
töten,mate
Nichts,Nada
Wirklich,Mesmo
bekommen,para obter
Männer,Homens
vergessen,esquecer
Doch,Mas
dazu,para
gab,deram
später,mais tarde
wusste,sabia
Augen,olhos
Dank,obrigado
Freunde,amigos
Jungs,rapazes
halten,segure
warten,espera
Glück,sorte
beide,Ambas
gute,qualidade
Dein,Sua
kennen,conhecer
Deine,Seu
n,n
Hi,Oi
Dr,Dr
Auto,automóvel
sage,lenda
gehe,vai
komme,obter
Dir,para você
mache,faço
Von,De
Uhr,Relógio
sehe,Vejo
Teufel,diabo
sonst,por outro lado
Art,Gentil
gern,alegremente
Liebe,amor
jeden,cada
könnten,poderia
ihren,seus
Halt,Pare
Fall,caso
Dad,Pai
Film,Filme
bisschen,pouco
eigentlich,na realidade
weit,distante
mach,mach
Gib,Dar
vorbei,passado
verstehe,Compreendo
danke,obrigado
drin,iniciar
Im,no
Name,Sobrenome
ganzen,tudo
Musik,música
würden,seria
Tür,porta
verrückt,louco
solltest,deve
denken,pensar
Noch,Ainda
dran,sintonizado
Sieh,Veja
lieber,em vez de
Den,O
leben,Vida
Guten,Boa
Um,Em volta
darauf,nisso
Kein,Não
stimmt,Direito
Kerl,Cara
letzte,Mais recentes
Job,trabalho
verloren,perdido
wurden,nós estamos
kenne,conhecer
Ahnung,ideia
seiner,seu
Grund,razão
toll,Excelente
Bis,Para
Verdammt,Caramba
bald,em breve
bereit,pronto
all,Alles
jemanden,alguém
hinter,Atrás
Schon,Legal
Sehr,Muito
Hand,mão
darf,maio
Dieser,Esta
Frauen,mulheres
Euch,Para você
Idee,ideia
runter,baixa
Macht,Faz
draußen,fora
lang,longo
Land,país
lass,deixar
Typ,Modelo
hätten,teve
egal,não importa
arbeiten,trabalhos
spät,tarde
stehen,ficar
ok,OK
Gute,Qualidade
gekommen,veio
Bei,no
etwa,cerca de
essen,comer
kleine,pequeno
jeder,todos
Schwester,irmã
Wasser,agua
spielen,Reproduzir
Geschichte,história
seinem,seu
liegt,mentiras
sah,serrar
Mom,Mamãe
Seite,página
wenig,pouco
ruhig,calma
Frage,pergunta
meinst,mau
überhaupt,em absoluto
fahren,dirigir
Ganz,Tudo
Gehen,Caminhar
Essen,comer
Ruhe,Quieto
echt,real
versucht,tentativas
Tochter,filha
Kommt,vem
Einen,uma
ging,foi
Jahr,ano
braucht,necessidade
fast,aproximadamente
neue,novo
geh,vai
ziemlich,bastante
anders,diferente
siehst,Vejo
Polizei,polícia
Stunden,horas
musste,tive
Spiel,jogos
gewesen,fui
gerne,com prazer
finde,achar
erzählt,diz
Tod,morte
Ort,"Lugar, colocar"
Chance,chance
bedeutet,meios
War,estava
sag,dizer
sagst,dizer
fragen,perguntar
letzten,durar
sogar,até
ersten,primeiro
Sachen,rechear
Wahrheit,verdade
einzige,apenas um
kurz,baixo
denen,para aqueles
Kommen,Venha
Spaß,Diversão
Nach,Para
oben,acima de
Mama,mamãe
schwer,pesado
Schule,escola
je,sempre
eben,somente
Gesicht,Rosto
bestimmt,certamente
treffen,encontrar
niemand,ninguém
Woche,semana
Entschuldigung,Desculpe
Sorgen,Importar-se
warte,esperar
natürlich,Naturalmente
schlecht,ruim
große,Tamanho
getötet,assassinado
verstehen,Compreendo
hoffe,ter esperança
Ah,ah
Sei,Ser
Zimmer,sala
hoch,Alto
unserer,nosso
Tage,dias
Teil,papel
Wann,Quando
suchen,procurar
verlassen,sair
zeigen,demonstrar
wollten,queria
lässt,sai
Wort,palavra
eins,1
zwischen,entre
Woher,De onde
Schatz,amada
Wissen,Conhecimento
versuchen,tentar
Können,Posso
Kannst,Posso
nett,Gentil
Zu,Para
kriegen,Obtivermos
Geht,indo
Arsch,bunda
kleinen,pequeno
Hab,hab
weiss,Branco
erste,primeiro
läuft,corrida
kommst,chegando
Freundin,Namorada
Mensch,humano
beiden,Ambas
Ding,coisa
niemals,De jeito nenhum
endlich,Finalmente
Nimm,levar
muß,ter que
gehst,indo
Heute,hoje
denkst,pensar
Herz,coração
Waffe,arma
Soll,Deve
tust,Faz
Dollar,dólar
nehme,levar
Schau,mostrar
holen,buscar
oft,muitas vezes
drauf,isto
anderes,outro
Niemand,Ninguém
unten,abaixo de
Wagen,ousar
Yeah,sim
Schön,Legal
wichtig,importante
Mrs,Sra
hättest,teve
allen,tudo
Miss,Senhorita
ihrer,deles
gedacht,pensei
Nummer,número
würdest,seria
erzählen,contar
bleibt,permanece
Auch,Também
Hände,mãos
Blut,sangue
Sehen,Ver
bloß,somente
recht,Lei
bringt,traz
Bett,cama
Lassen,Deixar
Eltern,pais
gefällt,Como
Schuld,culpa
eure,sua
Plan,plano
Krieg,guerra
neuen,novo
Klar,Claro
retten,resgate
guter,bens
während,enquanto
ihrem,seus
wären,seria
Fehler,erro
scheint,parece
Lasst,Sai
gegeben,dado
An,No
hör,ouvir
glücklich,feliz
verdammt,condenado
alt,velho
Platz,"Lugar, colocar"
darum,portanto
Vielen,um monte de
falsch,incorreto
unseren,nosso
schlafen,dormir
Sagen,Dizer
nächsten,Next
fünf,cinco
frei,gratuitamente
Sorge,preocupação
Vor,Em frente
fest,firmemente
bereits,já
alleine,sozinho
Denn,Porque
Zwei,Dois
Fragen,perguntar
möglich,possível
irgendwie,de alguma forma
Papa,pai
lernen,aprender
gestern,ontem
hierher,aqui
Schiff,navio
vier,quatro
irgendwas,nada
Stimmt,Direito
Menge,quantidade
keiner,Nenhum
brauchst,necessidade
Typen,tipos
Dass,Que
Stunde,hora
Szene,cena
Hölle,inferno
einige,algum
Deshalb,Portanto
geworden,vir a ser
Telefon,telefone
Darf,Maio
Feuer,Incêndio
Wollen,Quer
Bin,sou
Alter,Era
Captain,Capitão
Aus,Fora
Dieses,Esta
Probleme,questões
Jeder,Todos
verstanden,entendido
wann,quando
alten,velho
gibt's,há
sondern,em vez de
guten,Boa
zwar,Apesar
eigenen,ter
New,Novo
Körper,corpo
hört,ouve
Zum,Para o
gebe,dar
Kumpel,Cara
Hund,cão
nochmal,novamente
hab's,Entendi
früh,cedo
Hören,Ouço
trinken,bebida
besten,melhor
meines,minha
schaffen,Criar
alte,velho
Luft,ar
Jemand,Alguém
dürfen,permitido
Meister,mestre
Erde,terra
Seit,Desde a
Sicher,Claro que sim
Hört,ouvir
Zukunft,futuro
kaum,por muito pouco
funktioniert,está funcionando
voll,cheio
Bleib,Fique
reicht,suficiente
weh,dolorido
stellen,colocar
Siehst,Ver
kleiner,menor
großen,enorme
Waffen,armas
Büro,escritório
Wahl,escolha
verlieren,perder
Wochen,semanas
Damit,A fim de
Stück,Artigo
lieben,amor
allem,tudo
getroffen,conheceu
äh,hum
Am,No
geschafft,feito
tue,Faz
gefallen,Como
Tja,Nós vamos
Boss,chefe
überall,por toda parte
Sieht,parece
passieren,acontecer
lustig,engraçado
Licht,luz
gebracht,trouxe
nennen,ligar
Folge,episódio
Gefühl,sentimento
völlig,completamente
denkt,pensa
Schlüssel,chave
drüben,bem ali
Richtig,Correto
wieso,como assim
Leuten,pessoas
Buch,livro
laufen,para correr
spielt,tocam
früher,mais cedo
Sein,Ser
krank,doente
gegangen,foi
fand,encontrado
Seine,Seu
Pass,Passaporte
fühle,sentir
Himmel,céu
froh,Alegre
leicht,luz
direkt,diretamente
langsam,devagar
wolltest,desejado
erinnern,lembrar
zuerst,primeiro
Krankenhaus,hospital
Viel,Muito
beste,melhor
welche,Que
genommen,tomou
Arzt,médico
unserem,nosso
Idiot,idiota
Machen,Fazer
glaubst,pensar
jede,cada
Ohne,Sem
groß,ampla
hattest,teve
Äh,hum
Jungen,Rapazes
Rest,descanso
Unsere,Nosso
versuche,tentativas
Tagen,Conheçer
nächste,Next
Entschuldigen,Desculpar-se
Doktor,médico
spricht,fala
könnt,posso
hält,mantém
Team,equipe
Verstanden,entendido
kämpfen,lutar
heiraten,casar
könntest,poderia
Wow,Uau
Etwas,Alguma coisa
Straße,estrada
Mist,Droga
König,Rei
redest,falando sobre
kleines,pequeno
lebt,vidas
erklären,explicar
worden,fui
Millionen,milhões
Wiedersehen,Encontrar novamente
Onkel,tio
kennst,conhecer
sitzen,sentar
dies,esta
weniger,Menos
Kaffee,café
ernst,sério
wollt,quer
tragen,usar
Zeug,rechear
trotzdem,mesmo assim
Ihren,Seus
kaufen,comprar
Liste,Lista
ändern,mudar
Kampf,luta
hasse,odiar
Person,pessoa
Mund,boca
umbringen,mate
Präsident,Presidente
Boden,chão
Wohin,Onde
machte,feito
Party,Festa
gefragt,Perguntou
Seht,Veja
irgendwo,em algum lugar
kümmern,Para cuidar de
kennt,sabe
verletzt,ferido
Habt,Ter
Nachricht,mensagem
Willkommen,receber
vielen,um monte de
hart,duro
lasse,sair
total,total
Gefängnis,cadeia
außer,exceto
Sicherheit,segurança
Schnell,Rápido
wem,o qual
ehrlich,honesto
interessiert,Interessado
Sex,sexo
sagten,disse
ziehen,puxar
Welche,Que
Unser,Nosso
Augenblick,momento
angerufen,chamado
aufhören,Pare
Klasse,aula
Bild,foto
stark,fortemente
Dies,Esta
Eure,Sua
zehn,dez
Sinn,senso
vorstellen,para apresentar
Traum,Sonhe
länger,mais tempo
manchmal,as vezes
anrufen,ligar
sechs,seis
Arschloch,Idiota
sollst,Obediente
gestorben,faleceu
Tages,dia
war's,foi isso
verschwinden,desaparecer
Kraft,força
gesprochen,falado
heraus,Fora
genauso,bem desse jeito
wärst,'d
Eins,1
damals,naquela época
heißen,ser chamado
Liebling,querido
wahrscheinlich,provavelmente
deshalb,portanto
Stelle,Trabalho
halt,Pare
erwartet,esperado
solche,tal
meisten,a maioria
bringe,trazer
still,quieto
umgebracht,assassinado
Stimme,voz
General,em geral
Geben,Dar
Entschuldige,Desculpe
Vergiss,esqueço
rede,Fala
führen,liderar
Bewegung,Mover
höre,ouvir
Sonst,Por outro lado
Geschäft,o negócio
werdet,vontade
konnten,poderia
wartet,espera
Raus,Fora